customer_id,account_name,csm_owner,health_score,health_trend,mrr_usd,renewal_date,churn_date,status,last_qbr_date,open_tickets,nps_score,sf_account_id
CUST-0431,MINDBOX,patricia@raptorsoft.com,63,,10562.72,2026-03-30,,Active,2024-08-01,12,4,ACC-1111
CUST-0432,Zentra Tech,patricia@raptorsoft.com,,Stable,3782.2,2026-04-12,,Active,2023-10-01,1,7,
CUST-0433,Amplia Soluções,lucas@raptorsoft.com,75,Improving,0.0,2025-10-24,2023-09-29,Churned,,1,,ACC-1113
CUST-0434,CORELOGIC,lucas@raptorsoft.com,31,Declining,0.0,2025-08-20,2024-08-27,Churned,2023-07-21,2,5,ACC-1114
CUST-0435,TapFlow,carla@raptorsoft.com,,Improving,3854.61,2025-06-10,,Active,2024-09-22,4,,ACC-1115
CUST-0436,INNOVA,lucas@raptorsoft.com,62,,0.0,2025-06-30,2023-12-25,Churned,2024-10-13,3,,ACC-1116
CUST-0437,gridsoft,carla@raptorsoft.com,64,,7731.16,2025-09-14,,Active,2023-12-23,12,7,ACC-1117
CUST-0438,POLARIS,patricia@raptorsoft.com,55,Declining,4275.8,2025-09-22,,Active,2023-09-10,1,5,ACC-1118
CUST-0439,bluepath,,30,Stable,9591.88,2025-12-23,,Active,,5,,
CUST-0440,Acme Corp,patricia@raptorsoft.com,75,Declining,8046.82,2025-05-26,2024-01-04,Active,,0,5,ACC-1100
CUST-0441,beta solutions,lucas@raptorsoft.com,39,Declining,5562.95,2025-01-04,,Active,2024-02-16,3,7,ACC-1101
CUST-0442,Grupo Nexus,patricia@raptorsoft.com,99,,0.0,2026-04-18,2023-11-17,Churned,2024-09-26,5,4,ACC-1102
CUST-0443,Vertice Tech,lucas@raptorsoft.com,53,,0.0,2025-09-15,2023-10-21,Churned,2024-11-29,10,,ACC-1103
CUST-0444,Orbit,,,Improving,10386.41,2025-01-29,,Active,2024-02-05,6,,
CUST-0445,Fluxo Sistemas,,86,,3118.99,2025-12-30,,Active,2023-12-03,0,3,ACC-1105
CUST-0446,DataPrime,carla@raptorsoft.com,52,Declining,8339.7,2025-12-12,,Active,2024-10-10,6,8,ACC-1106
CUST-0447,CONNECTWAVE,carla@raptorsoft.com,39,Stable,0.0,2026-02-11,2023-06-02,Churned,,0,5,ACC-1107
CUST-0448,Sky Ops,rafael@raptorsoft.com,28,Improving,6749.59,2025-08-06,,Active,2023-07-18,9,,
CUST-0449,polare,rafael@raptorsoft.com,,Declining,0.0,2026-04-04,2023-07-04,Churned,2023-09-05,11,,ACC-1109
CUST-0450,RUSHFLOW,rafael@raptorsoft.com,64,Stable,2706.9,2025-11-21,,Active,,2,3,
CUST-0451,Mindbox,rafael@raptorsoft.com,95,Improving,1156.39,2025-04-09,,Active,2023-10-11,0,7,ACC-1111
CUST-0452,Zentra,rafael@raptorsoft.com,,,0.0,2026-04-19,2023-11-04,Churned,2024-10-27,1,5,ACC-1112
CUST-0453,Amplia,rafael@raptorsoft.com,89,Declining,7395.24,2025-10-02,,Active,,3,,ACC-1113
CUST-0454,CoreLogic,rafael@raptorsoft.com,54,Declining,8505.45,2026-05-02,,Active,,5,10,
CUST-0455,TapFlow,patricia@raptorsoft.com,39,,9562.25,2024-02-06,,Active,2023-10-30,3,,ACC-1115
CUST-0456,Innova,carla@raptorsoft.com,85,Declining,10659.86,2026-03-21,,Active,,6,,
CUST-0457,Grid Soft,,73,Improving,2275.35,2025-01-30,,Active,2023-11-22,7,4,ACC-1117
CUST-0458,POLARIS,patricia@raptorsoft.com,29,Stable,0.0,2025-05-09,2024-07-03,Churned,,5,,ACC-1118
CUST-0459,BluePath,rafael@raptorsoft.com,39,Stable,0.0,2025-10-30,2025-01-25,Churned,,11,,
CUST-0460,Acme Corp.,patricia@raptorsoft.com,53,Declining,8569.74,2026-06-03,,Active,2023-07-25,6,9,ACC-1100
CUST-0461,BETA SOLUTIONS,carla@raptorsoft.com,59,,3276.68,2024-01-24,,Active,2023-08-13,9,6,
CUST-0462,nexus,patricia@raptorsoft.com,57,,10760.59,2025-01-26,,Active,2024-06-15,8,,
CUST-0463,VERTICE TECH,lucas@raptorsoft.com,95,Improving,7283.49,2025-02-26,,Active,,6,2,
CUST-0464,orbit digital,patricia@raptorsoft.com,43,,0.0,2025-04-03,2024-08-10,Churned,,7,5,ACC-1104
CUST-0465,Fluxo Sistemas,patricia@raptorsoft.com,80,,7998.24,2025-04-25,,Active,2023-08-07,8,,ACC-1105
CUST-0466,DataPrime,carla@raptorsoft.com,23,Stable,4398.47,2024-12-27,2024-11-19,Active,,7,10,
CUST-0467,CONNECTWAVE,rafael@raptorsoft.com,73,Improving,13838.95,2025-03-27,,Active,2023-12-03,3,10,ACC-1107
CUST-0468,SkyOps,carla@raptorsoft.com,75,Stable,7850.49,2025-02-03,,Active,2023-07-22,3,,ACC-1108
CUST-0469,Polare,lucas@raptorsoft.com,98,Stable,910.58,2025-07-25,,Active,,7,,
CUST-0470,rushflow,carla@raptorsoft.com,55,Stable,5547.69,2025-05-20,,Active,2024-09-09,4,,ACC-1110
CUST-0471,mindbox,lucas@raptorsoft.com,54,Improving,14118.99,2026-04-29,,Active,,2,,ACC-1111
CUST-0472,ZENTRA,patricia@raptorsoft.com,,Improving,8186.12,2025-09-19,,Active,,0,9,
CUST-0473,AMPLIA SOLUCOES,rafael@raptorsoft.com,62,Stable,13939.99,2026-04-22,,Active,,10,4,
CUST-0474,CORELOGIC,rafael@raptorsoft.com,53,Stable,0.0,2025-07-22,2024-10-06,Churned,2024-07-21,12,3,
CUST-0475,tapflow,rafael@raptorsoft.com,50,,0.0,2025-04-30,2024-11-26,Churned,,8,1,ACC-1115
CUST-0476,Innova Tech,patricia@raptorsoft.com,90,Improving,2656.99,2026-02-21,,Active,,6,10,
CUST-0477,GridSoft,lucas@raptorsoft.com,91,Improving,3690.28,2026-01-15,,Active,2024-11-06,10,,ACC-1117
CUST-0478,Polaris,carla@raptorsoft.com,44,Improving,0.0,2025-10-21,2024-09-07,Churned,,10,9,ACC-1118
CUST-0479,BluePath,rafael@raptorsoft.com,21,Improving,12636.35,2025-06-19,,Active,,1,,
CUST-0480,ACME CORP,patricia@raptorsoft.com,92,Stable,0.0,2025-04-10,2023-09-18,Churned,,6,2,
CUST-0481,BETA SOLUTIONS,,,Improving,2692.75,2025-01-15,,Active,2024-06-25,5,1,
CUST-0482,nexus,patricia@raptorsoft.com,19,,4779.55,2026-05-22,,Active,2024-08-11,5,,ACC-1102
CUST-0483,Vértice Tech,carla@raptorsoft.com,61,Improving,7361.72,2026-01-23,,Active,,8,10,ACC-1103
CUST-0484,ORBIT DIGITAL,rafael@raptorsoft.com,87,,7300.47,2026-05-08,,Active,2024-03-03,0,,ACC-1104
CUST-0485,Fluxo Sistemas,rafael@raptorsoft.com,,Improving,0.0,2025-01-03,2023-06-15,Churned,,10,,
CUST-0486,Data Prime,carla@raptorsoft.com,17,Improving,5717.09,2026-03-23,,Active,2024-03-13,1,,ACC-1106
CUST-0487,ConnectWave,rafael@raptorsoft.com,55,,5468.5,2026-01-16,2024-10-18,Active,2024-12-24,11,,
CUST-0488,skyops,lucas@raptorsoft.com,30,Declining,0.0,2025-10-15,2023-11-26,Churned,,1,1,ACC-1108
CUST-0489,polare,patricia@raptorsoft.com,25,Declining,13608.46,2025-08-11,,Active,2024-09-01,8,9,ACC-1109
CUST-0490,RushFlow,patricia@raptorsoft.com,93,Improving,9136.68,2025-06-03,,Active,2024-04-29,10,9,
CUST-0491,Mind Box,rafael@raptorsoft.com,,Improving,1883.56,2025-07-04,,Active,2023-11-16,1,2,
CUST-0492,ZENTRA,rafael@raptorsoft.com,99,,10905.9,2026-06-25,,Active,2023-12-26,6,,
CUST-0493,Amplia Soluções,patricia@raptorsoft.com,,Stable,8265.34,2025-03-29,2024-07-17,Active,2024-07-19,3,,ACC-1113
CUST-0494,corelogic,,26,Improving,9064.91,2025-12-28,,Active,2024-02-17,9,,
CUST-0495,tapflow,patricia@raptorsoft.com,83,Declining,9574.35,2024-12-16,,Active,2024-12-30,12,,ACC-1115
CUST-0496,INNOVA,carla@raptorsoft.com,92,Improving,0.0,2026-04-29,2023-11-18,Churned,2024-12-31,11,,
CUST-0497,GridSoft,rafael@raptorsoft.com,,Improving,11118.97,2025-11-26,2024-07-10,Active,2024-08-13,6,,ACC-1117
CUST-0498,Polaris,lucas@raptorsoft.com,40,Stable,7472.77,2025-08-25,,Active,2023-11-18,5,7,
CUST-0499,bluepath,patricia@raptorsoft.com,,Improving,8299.96,2026-02-06,,Active,,2,,ACC-1119
CUST-0500,ACME CORP,rafael@raptorsoft.com,23,Declining,11423.89,2025-04-25,,Active,2024-09-25,1,,
CUST-0501,beta solutions,patricia@raptorsoft.com,15,Declining,12548.37,2025-06-22,,Active,2024-05-27,7,6,ACC-1101
CUST-0502,nexus,rafael@raptorsoft.com,91,Improving,3728.29,2025-06-17,,Active,2023-06-01,8,6,ACC-1102
CUST-0503,Vertice,,13,Declining,2631.58,2026-03-21,,Active,,2,8,
CUST-0504,orbit digital,rafael@raptorsoft.com,32,Declining,0.0,2025-04-15,2024-10-24,Churned,2023-12-01,2,,ACC-1104
CUST-0505,Fluxo Sistemas Ltda,patricia@raptorsoft.com,,Improving,4496.67,2025-11-10,2024-05-26,Active,,12,4,
CUST-0506,DataPrime,carla@raptorsoft.com,79,,9251.96,2025-07-20,,Active,2024-10-14,6,10,
CUST-0507,Connect Wave,carla@raptorsoft.com,33,Improving,11631.2,2026-06-28,2024-11-18,Active,2023-12-01,7,7,
CUST-0508,SkyOps,rafael@raptorsoft.com,62,,5045.36,2024-01-23,,Active,,3,8,
CUST-0509,Polare Ltda,carla@raptorsoft.com,68,Declining,0.0,2025-02-03,2024-08-03,Churned,,5,7,
CUST-0510,RUSHFLOW,patricia@raptorsoft.com,47,Improving,2778.27,2025-03-25,,Active,,12,,ACC-1110
CUST-0511,MINDBOX,rafael@raptorsoft.com,,Declining,1684.91,2025-02-08,2024-11-13,Active,,7,4,
CUST-0512,zentra,lucas@raptorsoft.com,48,Declining,14867.28,2025-11-29,,Active,,3,3,ACC-1112
CUST-0513,Amplia Soluções,patricia@raptorsoft.com,86,Improving,4958.44,2025-05-13,,Active,2023-08-27,7,2,
CUST-0514,CoreLogic,patricia@raptorsoft.com,,Improving,4049.64,2024-12-08,2023-11-25,Active,,7,,ACC-1114
CUST-0515,tapflow,patricia@raptorsoft.com,95,Stable,12860.85,2025-08-11,,Active,2023-12-02,11,,ACC-1115
CUST-0516,Innova Tech,patricia@raptorsoft.com,67,,11290.82,2025-05-09,,Active,,1,,ACC-1116
CUST-0517,GridSoft,patricia@raptorsoft.com,98,Stable,6198.26,2026-06-16,,Active,2024-06-23,0,,ACC-1117
CUST-0518,Polaris Tech,,,Improving,8704.37,2026-04-07,,Active,,10,4,
CUST-0519,BluePath,rafael@raptorsoft.com,25,,12762.69,2026-03-11,,Active,2024-08-11,11,8,ACC-1119
CUST-0520,acme,,68,,4254.49,2025-04-06,,Active,,2,,ACC-1100
CUST-0521,beta solutions,,55,,8087.72,2025-06-12,,Active,,2,6,ACC-1101
CUST-0522,GRUPO NEXUS,rafael@raptorsoft.com,11,Stable,12312.44,2025-12-03,,Active,,5,6,
CUST-0523,Vértice Tech,carla@raptorsoft.com,97,Improving,0.0,2025-12-14,2024-03-29,Churned,2024-02-27,3,5,
CUST-0524,Orbit,rafael@raptorsoft.com,52,Improving,8359.39,2025-02-18,,Active,2024-04-14,5,3,ACC-1104
CUST-0525,FLUXO SISTEMAS,lucas@raptorsoft.com,87,Declining,3265.93,2025-06-08,,Active,,8,,
CUST-0526,dataprime,patricia@raptorsoft.com,43,Stable,10507.82,2025-07-22,,Active,2023-11-21,9,,
CUST-0527,ConnectWave,lucas@raptorsoft.com,67,Improving,5957.3,2025-03-11,,Active,,3,,
CUST-0528,skyops,lucas@raptorsoft.com,70,,7756.85,2026-05-27,,Active,2024-11-07,1,,
CUST-0529,Polare Ltda,patricia@raptorsoft.com,,,3131.06,2026-02-28,,Active,,0,8,ACC-1109
CUST-0530,RushFlow,,,Declining,10883.83,2026-04-16,,Active,,5,6,
CUST-0531,mindbox,patricia@raptorsoft.com,88,Stable,12579.08,2026-06-03,,Active,2023-09-06,12,3,
CUST-0532,Zentra,carla@raptorsoft.com,14,Improving,9909.78,2024-04-09,,Active,2023-10-20,4,,
CUST-0533,Amplia Soluções,carla@raptorsoft.com,21,,12996.68,2025-05-24,,Active,2024-02-09,1,,ACC-1113
CUST-0534,CoreLogic,lucas@raptorsoft.com,84,Declining,9856.42,2026-06-07,2024-02-16,Active,,5,,ACC-1114
CUST-0535,TAPFLOW,lucas@raptorsoft.com,,Stable,0.0,2025-03-17,2024-07-14,Churned,2024-11-23,11,8,
CUST-0536,Innova,,47,Stable,10113.94,2025-09-15,,Active,2023-09-04,1,8,ACC-1116
CUST-0537,GridSoft,carla@raptorsoft.com,66,Declining,9179.27,2026-01-03,,Active,,3,2,
CUST-0538,Polaris Tech,rafael@raptorsoft.com,50,Stable,0.0,2026-01-24,2024-04-22,Churned,,9,,
CUST-0539,Blue Path,patricia@raptorsoft.com,17,,0.0,2025-11-10,2024-03-01,Churned,,2,1,
CUST-0540,Acme Corp.,carla@raptorsoft.com,46,,9579.77,2026-06-19,,Active,,8,6,ACC-1100
CUST-0541,BETA SOLUTIONS,rafael@raptorsoft.com,76,,0.0,2025-09-17,2024-07-15,Churned,2023-12-06,7,,ACC-1101
CUST-0542,nexus,,52,Improving,0.0,2026-03-14,2025-01-15,Churned,2024-10-22,9,2,
CUST-0543,VERTICE TECH,rafael@raptorsoft.com,26,Improving,5974.56,2025-06-15,,Active,2024-09-26,9,,
CUST-0544,orbit digital,rafael@raptorsoft.com,48,Stable,0.0,2025-04-07,2025-01-26,Churned,,11,,ACC-1104
CUST-0545,Fluxo Sistemas Ltda,lucas@raptorsoft.com,,Stable,2907.17,2025-09-13,,Active,2024-12-12,6,5,
CUST-0546,DATAPRIME,carla@raptorsoft.com,57,Declining,2817.26,2026-05-23,,Active,2023-12-19,10,,
CUST-0547,CONNECTWAVE,carla@raptorsoft.com,89,Stable,4376.07,2025-09-17,,Active,2023-12-19,0,,
CUST-0548,SKYOPS,rafael@raptorsoft.com,,Declining,6556.9,2025-02-02,,Active,2024-09-01,2,,
CUST-0549,POLARE,carla@raptorsoft.com,10,Declining,14254.49,2025-09-01,,Active,2024-06-26,2,,ACC-1109
CUST-0550,Rush Flow,rafael@raptorsoft.com,90,Stable,0.0,2026-05-17,2024-03-20,Churned,,7,,ACC-1110
CUST-0551,MINDBOX,lucas@raptorsoft.com,48,,4716.34,2024-01-12,2024-01-16,Active,2024-09-24,2,,ACC-1111
CUST-0552,Zentra,carla@raptorsoft.com,23,Improving,8403.88,2026-03-26,,Active,,12,3,
CUST-0553,Amplia,rafael@raptorsoft.com,95,Improving,4417.25,2026-05-16,,Active,,6,5,ACC-1113
CUST-0554,CoreLogic,lucas@raptorsoft.com,92,Declining,11812.14,2025-03-08,,Active,,7,7,
CUST-0555,TapFlow,rafael@raptorsoft.com,22,Stable,0.0,2026-01-26,2024-11-29,Churned,2023-08-29,4,,
CUST-0556,Innova Tech,carla@raptorsoft.com,,,14090.77,2026-06-06,,Active,2023-11-12,12,7,ACC-1116
CUST-0557,GridSoft,lucas@raptorsoft.com,21,Declining,0.0,2025-04-06,2023-10-14,Churned,2024-11-05,9,2,ACC-1117
CUST-0558,POLARIS,carla@raptorsoft.com,73,Improving,8073.43,2026-03-14,,Active,2023-10-25,1,8,ACC-1118
CUST-0559,BluePath,carla@raptorsoft.com,52,,8807.15,2024-07-12,,Active,2024-12-22,7,,
CUST-0560,Acme Corp,rafael@raptorsoft.com,75,Stable,2360.56,2026-01-31,,Active,2024-02-29,6,,
CUST-0561,beta solutions,lucas@raptorsoft.com,23,Declining,6435.46,2025-01-27,,Active,2024-09-06,9,6,
CUST-0562,nexus,patricia@raptorsoft.com,64,Improving,0.0,2026-04-25,2024-10-09,Churned,2023-10-06,8,6,
CUST-0563,Vertice,lucas@raptorsoft.com,,Declining,6910.2,2026-06-13,,Active,2024-07-18,6,,
CUST-0564,ORBIT DIGITAL,carla@raptorsoft.com,73,,14080.35,2026-02-05,,Active,,7,,ACC-1104
CUST-0565,Fluxo Sistemas Ltda,carla@raptorsoft.com,14,Improving,8659.57,2025-05-03,,Active,2024-09-14,10,4,
CUST-0566,dataprime,lucas@raptorsoft.com,42,Declining,0.0,2025-09-05,2023-11-06,Churned,,5,1,
CUST-0567,Connect Wave,,,Declining,1926.02,2026-04-23,,Active,2023-11-01,10,2,
CUST-0568,SkyOps,rafael@raptorsoft.com,62,Stable,2405.49,2025-01-02,2023-09-25,Active,2024-01-12,4,,
CUST-0569,Polare,rafael@raptorsoft.com,60,Stable,14036.56,2025-11-25,,Active,2024-04-29,9,8,
CUST-0570,RushFlow,lucas@raptorsoft.com,40,Stable,8909.87,2025-09-25,,Active,,11,8,
CUST-0571,Mind Box,lucas@raptorsoft.com,69,Stable,0.0,2026-05-12,,Active,,12,,
CUST-0572,ZENTRA,patricia@raptorsoft.com,90,Declining,1315.7,2025-09-27,,Active,2024-06-04,0,2,ACC-1112
CUST-0573,AMPLIA SOLUCOES,rafael@raptorsoft.com,45,Declining,4625.87,2026-03-28,,Active,,6,8,
CUST-0574,Core Logic,lucas@raptorsoft.com,64,Declining,13525.61,2026-04-12,,Active,2023-10-07,6,4,ACC-1114
CUST-0575,TAPFLOW,patricia@raptorsoft.com,38,,1700.33,2026-04-01,2023-07-22,Active,2024-02-26,2,3,
CUST-0576,Innova Tech,lucas@raptorsoft.com,65,Improving,0.0,2025-09-16,2023-07-16,Churned,,2,8,ACC-1116
CUST-0577,GRIDSOFT,lucas@raptorsoft.com,,,11739.34,2026-06-28,,Active,2024-09-15,7,8,ACC-1117
CUST-0578,POLARIS,carla@raptorsoft.com,97,Improving,14335.9,2026-03-14,,Active,2024-01-09,8,7,ACC-1118
CUST-0579,Blue Path,carla@raptorsoft.com,85,Stable,4601.73,2025-03-22,,Active,,5,,ACC-1119
CUST-0580,Acme Corp.,carla@raptorsoft.com,73,Declining,13700.31,2026-04-13,,Active,,1,1,
CUST-0581,Beta Solutions Ltda,rafael@raptorsoft.com,40,Declining,5390.3,2025-01-27,,Active,,8,1,
CUST-0582,GRUPO NEXUS,lucas@raptorsoft.com,19,Stable,3994.76,2024-01-17,,Active,,6,2,
CUST-0583,Vertice,lucas@raptorsoft.com,25,Stable,0.0,2025-06-10,2024-01-31,Churned,2024-03-12,2,3,
CUST-0584,orbit digital,patricia@raptorsoft.com,51,,0.0,2026-06-10,2024-06-04,Churned,2024-03-17,9,6,
CUST-0585,Fluxo,,62,Declining,2464.87,2026-03-10,,Active,2023-08-11,10,2,ACC-1105
CUST-0586,Data Prime,rafael@raptorsoft.com,89,,10401.37,2025-01-09,,Active,2024-11-17,7,,ACC-1106
CUST-0587,connectwave,carla@raptorsoft.com,49,Improving,0.0,2025-02-02,,Active,2023-08-25,3,,
CUST-0588,skyops,patricia@raptorsoft.com,16,,6401.27,2025-02-20,,Active,2024-03-24,1,10,ACC-1108
CUST-0589,Polare,patricia@raptorsoft.com,55,Improving,14918.91,2026-02-05,,Active,,2,4,
CUST-0590,RUSHFLOW,carla@raptorsoft.com,34,Improving,0.0,2026-06-05,2024-03-30,Churned,,10,,
CUST-0591,MINDBOX,lucas@raptorsoft.com,71,Declining,5439.88,2025-06-17,,Active,2024-06-14,11,,
CUST-0592,Zentra,rafael@raptorsoft.com,68,Declining,6418.66,2025-02-17,,Active,2024-12-31,5,,ACC-1112
CUST-0593,Amplia Soluções Ltda,rafael@raptorsoft.com,90,Stable,1784.51,2025-11-01,,Active,,3,,ACC-1113
CUST-0594,CORELOGIC,lucas@raptorsoft.com,10,Declining,12681.19,2026-04-30,,Active,2023-07-10,7,2,
CUST-0595,TapFlow,lucas@raptorsoft.com,75,,0.0,2025-02-18,2024-07-17,Churned,2024-03-26,0,3,ACC-1115
CUST-0596,Innova Tech,rafael@raptorsoft.com,56,,12425.17,2025-09-20,,Active,2024-11-27,10,2,ACC-1116
CUST-0597,Grid Soft,lucas@raptorsoft.com,10,Stable,3773.16,2026-05-25,2024-09-21,Active,,12,3,
CUST-0598,Polaris,lucas@raptorsoft.com,82,Declining,0.0,2026-06-08,2025-01-12,Churned,,7,,ACC-1118
CUST-0599,BLUEPATH,,100,,13328.97,2025-11-14,,Active,,5,,
CUST-0600,Acme,lucas@raptorsoft.com,,Declining,7484.39,2025-08-21,,Active,2024-06-13,10,1,ACC-1100
CUST-0601,BETA SOLUTIONS,carla@raptorsoft.com,47,Declining,10158.39,2025-02-15,,Active,,8,8,ACC-1101
CUST-0602,GRUPO NEXUS,patricia@raptorsoft.com,67,Declining,11437.67,2024-10-08,,Active,,5,,
CUST-0603,VERTICE TECH,carla@raptorsoft.com,84,Stable,11150.34,2025-06-30,,Active,,4,3,
CUST-0604,Orbit Digital,patricia@raptorsoft.com,30,Improving,14623.65,2025-12-05,,Active,,4,8,ACC-1104
CUST-0605,Fluxo Sistemas Ltda,,69,,13733.83,2026-06-16,,Active,,12,2,
CUST-0606,DataPrime,,98,Declining,10126.85,2026-06-22,,Active,2024-06-29,4,1,
CUST-0607,CONNECTWAVE,,44,Stable,1709.62,2025-06-06,,Active,,5,,
CUST-0608,SkyOps,patricia@raptorsoft.com,75,Improving,6616.1,2025-12-19,,Active,,12,,
CUST-0609,POLARE,patricia@raptorsoft.com,68,Declining,11711.04,2025-08-19,,Active,2024-10-24,8,,
CUST-0610,RushFlow,carla@raptorsoft.com,54,Stable,0.0,2025-11-30,2023-12-22,Churned,2024-09-20,7,5,ACC-1110
CUST-0611,MINDBOX,lucas@raptorsoft.com,,Improving,2942.59,2025-05-11,,Active,2024-09-19,11,,ACC-1111
CUST-0612,zentra,carla@raptorsoft.com,52,Improving,5129.92,2025-05-06,,Active,2024-04-11,0,2,ACC-1112
CUST-0613,Amplia,carla@raptorsoft.com,52,Declining,8602.31,2025-03-16,,Active,2023-08-28,4,8,ACC-1113
CUST-0614,CORELOGIC,patricia@raptorsoft.com,35,,11677.81,2026-06-11,,Active,2024-10-12,8,6,ACC-1114
CUST-0615,tapflow,patricia@raptorsoft.com,,Declining,11193.47,2025-05-03,,Active,,9,,
CUST-0616,INNOVA,lucas@raptorsoft.com,,Stable,3292.27,2025-07-04,,Active,,4,,
CUST-0617,gridsoft,,91,,11338.31,2025-10-03,,Active,,1,,ACC-1117
CUST-0618,polaris,lucas@raptorsoft.com,86,Declining,7197.34,2025-12-29,,Active,,10,8,ACC-1118
CUST-0619,BluePath,carla@raptorsoft.com,45,Stable,3993.68,2026-03-28,,Active,,7,9,
CUST-0620,Acme Corp,,10,Declining,8688.69,2024-04-07,,Active,,5,6,ACC-1100
CUST-0621,BETA SOLUTIONS,rafael@raptorsoft.com,52,Declining,0.0,2025-05-21,2023-10-15,Churned,,10,5,ACC-1101
CUST-0622,GRUPO NEXUS,,64,Declining,10201.57,2025-11-16,,Active,2023-07-01,1,4,ACC-1102
CUST-0623,VERTICE TECH,patricia@raptorsoft.com,43,,7496.24,2025-09-21,,Active,,12,,ACC-1103
CUST-0624,Orbit Digital,,80,Declining,6878.12,2025-05-13,,Active,,6,,
CUST-0625,FLUXO SISTEMAS,lucas@raptorsoft.com,11,,2571.5,2025-12-04,,Active,,12,,ACC-1105
CUST-0626,DataPrime,carla@raptorsoft.com,63,Stable,0.0,2025-07-18,2024-08-22,Churned,2024-12-02,9,1,ACC-1106
CUST-0627,Connect Wave,patricia@raptorsoft.com,36,Stable,10581.9,2025-04-16,,Active,,9,,ACC-1107
CUST-0628,SkyOps,rafael@raptorsoft.com,,,4756.99,2025-01-09,,Active,2024-10-29,12,,ACC-1108
