opportunity_id,account_name,account_id,segment,stage,amount_brl,close_date,owner_email,forecast_category,created_date,days_in_stage,hubspot_contact_id,stage_canonical,forecast_category_canonical,canonical_name,implied_days,data_quality,days_recalculated,is_stale_opportunity,is_open,slippage_days,is_slippage,is_negative_amount,is_closed_won,is_closed_lost,close_quarter,created_quarter,segment_original,canonical_segment,segment_confidence,segment_source,sales_cycle_days
OPP-2024036,Mindbox,ACC-1111,SMB,Proposal,21446.94,2023-08-28,pedro@raptorsoft.com,Commit,2024-08-22,120.0,,Proposal,commit,mindbox,-360.0,,,False,True,596,True,False,False,False,2023Q3,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024037,Fluxo Sistemas Ltda,ACC-1105,SMB,Qualification,25826.54,2024-12-22,pedro@raptorsoft.com,Omit,2023-08-31,57.0,,Discovery/Qualification,omit,fluxo,479.0,,,False,True,114,True,False,False,False,2024Q4,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024038,Fluxo Sistemas Ltda,ACC-1105,SMB,Closed Lost,14432.89,2024-10-16,mariana@raptorsoft.com,Best Case,2023-07-22,63.0,,Closed Lost,best_case,fluxo,452.0,,,False,False,0,False,False,False,True,2024Q4,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024039,Grupo Nexus,ACC-1102,SMB,Closed Won,28190.42,2024-09-16,pedro@raptorsoft.com,omit,2024-08-25,1.0,,Closed Won,omit,nexus,22.0,,,False,False,0,False,False,True,False,2024Q3,2024Q3,SMB,Mid-Market,HIGH,employees_median,22.0
OPP-2024040,CONNECTWAVE,ACC-1107,Mid-Market,DISCOVERY,141320.73,2024-10-26,carlos@raptorsoft.com,Best Case,2024-09-25,71.0,HS-90116,Discovery/Qualification,best_case,connectwave,31.0,,,False,True,171,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024041,Grupo Nexus,ACC-1102,Enterprise,Closed Won,292999.83,2025-01-19,joao@raptorsoft.com,best case,2024-11-22,102.0,,Closed Won,best_case,nexus,58.0,,,False,False,0,False,False,True,False,2025Q1,2024Q4,Enterprise,Mid-Market,HIGH,employees_median,58.0
OPP-2024042,acme,,Mid-Market,Closed Lost,71414.87,2025-01-10,ana.lima@raptorsoft.com,Best Case,2024-11-13,30.0,HS-90762,Closed Lost,best_case,acme,58.0,,,False,False,0,False,False,False,True,2025Q1,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024043,POLARIS,ACC-1118,SMB,Proposal,9418.62,2024-04-12,mariana@raptorsoft.com,Pipeline,2023-12-03,20.0,,Proposal,pipeline,polaris,131.0,,,False,True,368,True,False,False,False,2024Q2,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024044,beta solutions,ACC-1101,SMB,Discovery,36060.35,2024-09-22,joao@raptorsoft.com,Commit,2024-07-24,13.0,,Discovery/Qualification,commit,betasolutions,60.0,,,False,True,205,True,False,False,False,2024Q3,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024045,ACME CORP,ACC-1100,SMB,Discovery,20074.04,2024-02-27,mariana@raptorsoft.com,Pipeline,2023-08-27,31.0,HS-90472,Discovery/Qualification,pipeline,acme,184.0,,,False,True,413,True,False,False,False,2024Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024046,polare,ACC-1109,Mid-Market,Discovery,83007.57,2025-01-08,carlos@raptorsoft.com,Commit,2024-10-19,50.0,,Discovery/Qualification,commit,polare,81.0,,,False,True,97,True,False,False,False,2025Q1,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024047,Fluxo Sistemas,ACC-1105,Mid-Market,Closed Lost,97911.48,2023-09-11,carlos@raptorsoft.com,Omit,2023-07-23,30.0,HS-90194,Closed Lost,omit,fluxo,50.0,,,False,False,0,False,False,False,True,2023Q3,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024048,Amplia Soluções Ltda,ACC-1113,Mid-Market,closed-won,67071.95,2024-11-26,mariana@raptorsoft.com,Commit,2023-11-18,17.0,HS-90279,Closed Won,commit,amplia,374.0,,,False,False,0,False,False,True,False,2024Q4,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,374.0
OPP-2024049,Fluxo Sistemas Ltda,ACC-1105,Mid-Market,Closed Lost,126507.9,2024-12-03,pedro@raptorsoft.com,Omit,2024-11-05,102.0,,Closed Lost,omit,fluxo,28.0,,,False,False,0,False,False,False,True,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024050,CORELOGIC,ACC-1114,SMB,Closed Lost,18001.58,2024-12-15,mariana@raptorsoft.com,Best Case,2024-07-25,39.0,,Closed Lost,best_case,corelogic,143.0,,,False,False,0,False,False,False,True,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024051,POLARE,ACC-1109,SMB,Proposal,28467.02,2024-11-30,mariana@raptorsoft.com,Omit,2023-11-16,600.0,HS-90241,Proposal,omit,polare,380.0,,,True,True,136,True,False,False,False,2024Q4,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024052,Beta Solutions,ACC-1101,Mid-Market,Prospecting,44659.17,2024-12-18,ana.lima@raptorsoft.com,commit,2024-07-02,101.0,,Prospecting,commit,betasolutions,169.0,,,False,True,118,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024053,ORBIT DIGITAL,ACC-1104,Enterprise,Closed Lost,443362.45,2024-07-04,,pipeline,2024-06-01,102.0,,Closed Lost,pipeline,orbit,33.0,,,False,False,0,False,False,False,True,2024Q3,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024054,nexus,ACC-1102,SMB,Prop,32230.6,2024-09-03,joao@raptorsoft.com,Commit,2023-10-25,62.0,HS-90502,Proposal,commit,nexus,314.0,,,False,True,224,True,False,False,False,2024Q3,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024055,SKYOPS,ACC-1108,Enterprise,Negotiation,334145.88,2024-08-30,pedro@raptorsoft.com,Commit,2024-05-25,102.0,HS-90220,Negotiation,commit,skyops,97.0,,,False,True,228,True,False,False,False,2024Q3,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024056,gridsoft,ACC-1117,SMB,Proposal,8328.0,2024-10-26,joao@raptorsoft.com,pipeline,2024-10-07,96.0,HS-90600,Proposal,pipeline,gridsoft,19.0,,,False,True,171,True,False,False,False,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024057,Mindbox,ACC-1111,Mid-Market,Discovery,80752.42,2024-11-05,ana.lima@raptorsoft.com,best case,2024-08-24,29.0,,Discovery/Qualification,best_case,mindbox,73.0,,,False,True,161,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024058,Fluxo,ACC-1105,SMB,Closed Lost,31860.14,2024-11-19,carlos@raptorsoft.com,Commit,2024-09-12,68.0,,Closed Lost,commit,fluxo,68.0,,True,False,False,0,False,False,False,True,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024059,zentra,ACC-1112,SMB,Proposal,16931.36,2024-11-22,joao@raptorsoft.com,pipeline,2024-02-06,85.0,,Proposal,pipeline,zentra,290.0,,,False,True,144,True,False,False,False,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024060,RushFlow,ACC-1110,SMB,Discovery,25759.7,2023-07-29,ana.lima@raptorsoft.com,Commit,2023-10-22,38.0,,Discovery/Qualification,commit,rushflow,-85.0,,,False,True,626,True,False,False,False,2023Q3,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024061,ConnectWave,ACC-1107,Mid-Market,Negotiation,38649.06,2024-11-26,pedro@raptorsoft.com,Pipeline,2024-11-24,52.0,,Negotiation,pipeline,connectwave,2.0,,,False,True,140,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024062,Data Prime,ACC-1106,Mid-Market,Closed Lost,82405.41,2024-12-04,carlos@raptorsoft.com,Omit,2024-10-14,100.0,HS-90543,Closed Lost,omit,dataprime,51.0,,,False,False,0,False,False,False,True,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024063,polaris,ACC-1118,SMB,DISCOVERY,11904.51,2024-02-27,pedro@raptorsoft.com,Omit,2023-11-29,58.0,,Discovery/Qualification,omit,polaris,90.0,,,False,True,413,True,False,False,False,2024Q1,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024064,BluePath,ACC-1119,SMB,Prospecting,27098.48,2024-10-11,carlos@raptorsoft.com,commit,2024-09-23,111.0,,Prospecting,commit,bluepath,18.0,,,False,True,186,True,False,False,False,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024065,MINDBOX,ACC-1111,Enterprise,Proposal,342002.33,2023-10-14,joao@raptorsoft.com,Commit,2023-08-12,750.0,,Proposal,commit,mindbox,63.0,,,True,True,549,True,False,False,False,2023Q4,2023Q3,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024066,connectwave,ACC-1107,SMB,Closed Lost,25926.01,2024-09-15,pedro@raptorsoft.com,Omit,2024-08-22,43.0,HS-90317,Closed Lost,omit,connectwave,24.0,,,False,False,0,False,False,False,True,2024Q3,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024067,Amplia Soluções Ltda,ACC-1113,SMB,Discovery,27522.26,2025-01-21,mariana@raptorsoft.com,Pipeline,2023-09-25,3.0,HS-90349,Discovery/Qualification,pipeline,amplia,484.0,,,False,True,84,True,False,False,False,2025Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024068,Polare Ltda,ACC-1109,SMB,Closed_Lost,32584.21,2023-12-11,ana.lima@raptorsoft.com,Best Case,2023-11-18,107.0,HS-90044,Closed Lost,best_case,polare,23.0,,,False,False,0,False,False,False,True,2023Q4,2023Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024069,Amplia,ACC-1113,SMB,Negotiation,31198.78,2025-01-08,pedro@raptorsoft.com,Best Case,2024-09-27,60.0,HS-90428,Negotiation,best_case,amplia,103.0,,,False,True,97,True,False,False,False,2025Q1,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024070,Innova,ACC-1116,Mid-Market,Closed Lost,134894.03,2025-01-25,ana.lima@raptorsoft.com,Pipeline,2023-11-19,116.0,HS-90227,Closed Lost,pipeline,innova,433.0,,,False,False,0,False,False,False,True,2025Q1,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024071,GridSoft,ACC-1117,Enterprise,Prospecting,132642.17,2024-11-17,,Commit,2024-08-28,118.0,HS-90480,Prospecting,commit,gridsoft,81.0,,,False,True,149,True,False,False,False,2024Q4,2024Q3,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024072,ACME CORP,ACC-1100,SMB,Qualification,24208.15,2024-08-13,pedro@raptorsoft.com,omit,2024-03-19,15.0,HS-90016,Discovery/Qualification,omit,acme,147.0,,,False,True,245,True,False,False,False,2024Q3,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024073,mindbox,ACC-1111,Mid-Market,DISCOVERY,79988.11,2024-06-22,,Pipeline,2024-04-24,50.0,HS-90365,Discovery/Qualification,pipeline,mindbox,59.0,,,False,True,297,True,False,False,False,2024Q2,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024074,Data Prime,,Mid-Market,Closed Lost,46009.15,2024-09-08,mariana@raptorsoft.com,Omit,2023-10-15,104.0,,Closed Lost,omit,dataprime,329.0,,,False,False,0,False,False,False,True,2024Q3,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024075,VERTICE TECH,ACC-1103,SMB,Negotiation,33539.21,2024-10-06,carlos@raptorsoft.com,Pipeline,2024-05-13,103.0,,Negotiation,pipeline,vertice,146.0,,,False,True,191,True,False,False,False,2024Q4,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024076,Vertice Tech,ACC-1103,Mid-Market,Closed Lost,117249.76,2024-08-26,carlos@raptorsoft.com,commit,2024-07-11,78.0,HS-90359,Closed Lost,commit,vertice,46.0,,,False,False,0,False,False,False,True,2024Q3,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024077,CoreLogic,ACC-1114,Enterprise,Discovery,368473.56,2025-01-27,ana.lima@raptorsoft.com,Best Case,2024-09-18,87.0,HS-90241,Discovery/Qualification,best_case,corelogic,131.0,,,False,True,78,True,False,False,False,2025Q1,2024Q3,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024078,ConnectWave,ACC-1107,SMB,Negotiation,20747.29,2023-12-21,carlos@raptorsoft.com,Omit,2023-08-03,140.0,,Negotiation,omit,connectwave,140.0,,True,False,True,481,True,False,False,False,2023Q4,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024079,TapFlow,ACC-1115,Mid-Market,Negotiation,88944.02,2024-09-23,carlos@raptorsoft.com,Omit,2024-02-05,91.0,HS-90307,Negotiation,omit,tapflow,231.0,,,False,True,204,True,False,False,False,2024Q3,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024080,Core Logic,ACC-1114,Enterprise,Closed Lost,416826.27,2024-09-03,pedro@raptorsoft.com,Commit,2023-12-26,114.0,HS-90734,Closed Lost,commit,corelogic,252.0,,,False,False,0,False,False,False,True,2024Q3,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024081,RushFlow,ACC-1110,Mid-Market,Qualification,83996.94,2024-12-06,ana.lima@raptorsoft.com,Best Case,2023-09-14,117.0,,Discovery/Qualification,best_case,rushflow,449.0,,,False,True,130,True,False,False,False,2024Q4,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024082,Data Prime,ACC-1106,Mid-Market,Negotiation,60072.64,2024-07-21,ana.lima@raptorsoft.com,Pipeline,2024-06-19,75.0,,Negotiation,pipeline,dataprime,32.0,,,False,True,268,True,False,False,False,2024Q3,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024083,GridSoft,ACC-1117,SMB,Closed Won,25024.8,2025-01-01,mariana@raptorsoft.com,Commit,2024-03-28,10.0,HS-90495,Closed Won,commit,gridsoft,279.0,,,False,False,0,False,False,True,False,2025Q1,2024Q1,SMB,Mid-Market,HIGH,employees_median,279.0
OPP-2024084,DataPrime,ACC-1106,SMB,Closed Won,17087.97,2024-06-18,ana.lima@raptorsoft.com,omit,2024-05-22,7.0,,Closed Won,omit,dataprime,27.0,,,False,False,0,False,False,True,False,2024Q2,2024Q2,SMB,Mid-Market,HIGH,employees_median,27.0
OPP-2024085,GridSoft,,SMB,Negotiation,11644.19,2025-01-11,pedro@raptorsoft.com,omit,2024-05-31,31.0,HS-90288,Negotiation,omit,gridsoft,225.0,,,False,True,94,True,False,False,False,2025Q1,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024086,gridsoft,ACC-1117,Mid-Market,Discovery,81711.33,2025-01-29,pedro@raptorsoft.com,Pipeline,2024-10-24,47.0,HS-90461,Discovery/Qualification,pipeline,gridsoft,97.0,,,False,True,76,True,False,False,False,2025Q1,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024087,Fluxo Sistemas,ACC-1105,Enterprise,Qualification,235634.12,2024-06-05,,Omit,2023-10-30,92.0,HS-90152,Discovery/Qualification,omit,fluxo,219.0,,,False,True,314,True,False,False,False,2024Q2,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024088,Rush Flow,ACC-1110,SMB,Qualification,26577.52,2024-09-29,joao@raptorsoft.com,Commit,2024-05-22,87.0,HS-90742,Discovery/Qualification,commit,rushflow,130.0,,,False,True,198,True,False,False,False,2024Q3,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024089,Zentra,ACC-1112,Mid-Market,Closed Won,99316.13,2024-06-23,joao@raptorsoft.com,best case,2024-03-28,90.0,,Closed Won,best_case,zentra,87.0,,,False,False,0,False,False,True,False,2024Q2,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,87.0
OPP-2024090,Amplia Soluções,ACC-1113,SMB,Closed Lost,30459.07,2025-01-17,ana.lima@raptorsoft.com,Omit,2024-10-25,69.0,HS-90738,Closed Lost,omit,amplia,84.0,,,False,False,0,False,False,False,True,2025Q1,2024Q4,SMB,Mid-Market,HIGH,employees_median,
