opportunity_id,account_name,account_id,segment,stage,amount_brl,close_date,owner_email,forecast_category,created_date,days_in_stage,hubspot_contact_id,stage_canonical,forecast_category_canonical,canonical_name,implied_days,data_quality,days_recalculated,is_stale_opportunity,is_open,slippage_days,is_slippage,is_negative_amount,is_closed_won,is_closed_lost,close_quarter,created_quarter,segment_original,canonical_segment,segment_confidence,segment_source,sales_cycle_days,slippage_discount,engagement_modifier_for_forecast,win_rate_base,adjusted_win_rate,forecast_contribution,slippage_bucket
OPP-2024054,nexus,ACC-1102,SMB,Prop,32230.6,2024-09-03,joao@raptorsoft.com,Commit,2023-10-25,62.0,HS-90502,Proposal,commit,nexus,314.0,,,False,True,224,True,False,False,False,2024Q3,2023Q4,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2343.16,>180d
OPP-2024055,SKYOPS,ACC-1108,Enterprise,Negotiation,334145.88,2024-08-30,pedro@raptorsoft.com,Commit,2024-05-25,102.0,HS-90220,Negotiation,commit,skyops,97.0,,,False,True,228,True,False,False,False,2024Q3,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,24292.41,>180d
OPP-2024056,gridsoft,ACC-1117,SMB,Proposal,8328.0,2024-10-26,joao@raptorsoft.com,pipeline,2024-10-07,96.0,HS-90600,Proposal,pipeline,gridsoft,19.0,,,False,True,171,True,False,False,False,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,1413.26,91-180d
OPP-2024057,Mindbox,ACC-1111,Mid-Market,Discovery,80752.42,2024-11-05,ana.lima@raptorsoft.com,best case,2024-08-24,29.0,,Discovery/Qualification,best_case,mindbox,73.0,,,False,True,161,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,13703.69,91-180d
OPP-2024059,zentra,ACC-1112,SMB,Proposal,16931.36,2024-11-22,joao@raptorsoft.com,pipeline,2024-02-06,85.0,,Proposal,pipeline,zentra,290.0,,,False,True,144,True,False,False,False,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,2873.25,91-180d
OPP-2024060,RushFlow,ACC-1110,SMB,Discovery,25759.7,2023-07-29,ana.lima@raptorsoft.com,Commit,2023-10-22,38.0,,Discovery/Qualification,commit,rushflow,-85.0,,,False,True,626,True,False,False,False,2023Q3,2023Q4,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1872.73,>180d
OPP-2024061,ConnectWave,ACC-1107,Mid-Market,Negotiation,38649.06,2024-11-26,pedro@raptorsoft.com,Pipeline,2024-11-24,52.0,,Negotiation,pipeline,connectwave,2.0,,,False,True,140,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,6558.75,91-180d
OPP-2024064,BluePath,ACC-1119,SMB,Prospecting,27098.48,2024-10-11,carlos@raptorsoft.com,commit,2024-09-23,111.0,,Prospecting,commit,bluepath,18.0,,,False,True,186,True,False,False,False,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1970.06,>180d
OPP-2024065,MINDBOX,ACC-1111,Enterprise,Proposal,342002.33,2023-10-14,joao@raptorsoft.com,Commit,2023-08-12,750.0,,Proposal,commit,mindbox,63.0,,,True,True,549,True,False,False,False,2023Q4,2023Q3,Enterprise,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,24863.57,>180d
OPP-2024067,Amplia Soluções Ltda,ACC-1113,SMB,Discovery,27522.26,2025-01-21,mariana@raptorsoft.com,Pipeline,2023-09-25,3.0,HS-90349,Discovery/Qualification,pipeline,amplia,484.0,,,False,True,84,True,False,False,False,2025Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,,0.45,,0.4848,0.2666,7337.43,61-90d
OPP-2024069,Amplia,ACC-1113,SMB,Negotiation,31198.78,2025-01-08,pedro@raptorsoft.com,Best Case,2024-09-27,60.0,HS-90428,Negotiation,best_case,amplia,103.0,,,False,True,97,True,False,False,False,2025Q1,2024Q3,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,5294.43,91-180d
OPP-2024071,GridSoft,ACC-1117,Enterprise,Prospecting,132642.17,2024-11-17,,Commit,2024-08-28,118.0,HS-90480,Prospecting,commit,gridsoft,81.0,,,False,True,149,True,False,False,False,2024Q4,2024Q3,Enterprise,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,22509.38,91-180d
OPP-2024073,mindbox,ACC-1111,Mid-Market,DISCOVERY,79988.11,2024-06-22,,Pipeline,2024-04-24,50.0,HS-90365,Discovery/Qualification,pipeline,mindbox,59.0,,,False,True,297,True,False,False,False,2024Q2,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,5815.14,>180d
OPP-2024075,VERTICE TECH,ACC-1103,SMB,Negotiation,33539.21,2024-10-06,carlos@raptorsoft.com,Pipeline,2024-05-13,103.0,,Negotiation,pipeline,vertice,146.0,,,False,True,191,True,False,False,False,2024Q4,2024Q2,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2438.3,>180d
OPP-2024077,CoreLogic,ACC-1114,Enterprise,Discovery,368473.56,2025-01-27,ana.lima@raptorsoft.com,Best Case,2024-09-18,87.0,HS-90241,Discovery/Qualification,best_case,corelogic,131.0,,,False,True,78,True,False,False,False,2025Q1,2024Q3,Enterprise,Mid-Market,HIGH,employees_median,,0.45,,0.4848,0.2666,98235.05,61-90d
OPP-2024081,RushFlow,ACC-1110,Mid-Market,Qualification,83996.94,2024-12-06,ana.lima@raptorsoft.com,Best Case,2023-09-14,117.0,,Discovery/Qualification,best_case,rushflow,449.0,,,False,True,130,True,False,False,False,2024Q4,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,14254.28,91-180d
OPP-2024082,Data Prime,ACC-1106,Mid-Market,Negotiation,60072.64,2024-07-21,ana.lima@raptorsoft.com,Pipeline,2024-06-19,75.0,,Negotiation,pipeline,dataprime,32.0,,,False,True,268,True,False,False,False,2024Q3,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,4367.28,>180d
OPP-2024086,gridsoft,ACC-1117,Mid-Market,Discovery,81711.33,2025-01-29,pedro@raptorsoft.com,Pipeline,2024-10-24,47.0,HS-90461,Discovery/Qualification,pipeline,gridsoft,97.0,,,False,True,76,True,False,False,False,2025Q1,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.45,,0.4848,0.2666,21784.24,61-90d
OPP-2024088,Rush Flow,ACC-1110,SMB,Qualification,26577.52,2024-09-29,joao@raptorsoft.com,Commit,2024-05-22,87.0,HS-90742,Discovery/Qualification,commit,rushflow,130.0,,,False,True,198,True,False,False,False,2024Q3,2024Q2,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1932.19,>180d
OPP-2024094,TapFlow,ACC-1115,Mid-Market,Negotiation,34475.79,2024-05-23,mariana@raptorsoft.com,Pipeline,2024-02-23,24.0,,Negotiation,pipeline,tapflow,90.0,,,False,True,327,True,False,False,False,2024Q2,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2506.39,>180d
OPP-2024095,Zentra Tech,,Enterprise,Discovery,455703.99,2024-10-15,carlos@raptorsoft.com,Best Case,2024-06-08,59.0,HS-90345,Discovery/Qualification,best_case,zentra,129.0,,,False,True,182,True,False,False,False,2024Q4,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,33129.68,>180d
OPP-2024102,TAPFLOW,ACC-1115,Enterprise,Qualification,339113.96,2023-09-04,ana.lima@raptorsoft.com,Pipeline,2023-07-17,97.0,,Discovery/Qualification,pipeline,tapflow,49.0,,,False,True,589,True,False,False,False,2023Q3,2023Q3,Enterprise,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,24653.58,>180d
OPP-2024103,polaris,ACC-1118,Mid-Market,Qualification,109225.49,2024-06-08,mariana@raptorsoft.com,Best Case,2024-05-24,7.0,HS-90326,Discovery/Qualification,best_case,polaris,15.0,,,False,True,311,True,False,False,False,2024Q2,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,7940.69,>180d
OPP-2024105,Innova,ACC-1116,SMB,Prospecting,28578.52,2024-11-07,carlos@raptorsoft.com,Best Case,2024-01-12,300.0,HS-90772,Prospecting,best_case,innova,300.0,,True,False,True,159,True,False,False,False,2024Q4,2024Q1,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,4849.77,91-180d
OPP-2024106,ORBIT DIGITAL,ACC-1104,Mid-Market,Proposal,123061.67,2024-07-27,mariana@raptorsoft.com,Commit,2024-01-26,103.0,HS-90327,Proposal,commit,orbit,183.0,,,False,True,262,True,False,False,False,2024Q3,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,8946.58,>180d
OPP-2024109,CORELOGIC,ACC-1114,SMB,Proposal,26624.23,2024-06-28,pedro@raptorsoft.com,commit,2024-11-29,3.0,,Proposal,commit,corelogic,-154.0,,,False,True,291,True,False,False,False,2024Q2,2024Q4,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1935.58,>180d
OPP-2024110,beta solutions,ACC-1101,SMB,Negotiation,33532.5,2024-08-07,ana.lima@raptorsoft.com,Best Case,2024-01-13,106.0,,Negotiation,best_case,betasolutions,207.0,,,False,True,251,True,False,False,False,2024Q3,2024Q1,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2437.81,>180d
OPP-2024111,POLARE,ACC-1109,Mid-Market,Prospecting,124125.16,2024-02-09,pedro@raptorsoft.com,Pipeline,2023-12-23,6.0,HS-90577,Prospecting,pipeline,polare,48.0,,,False,True,431,True,False,False,False,2024Q1,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,9023.9,>180d
OPP-2024114,Fluxo Sistemas Ltda,ACC-1105,SMB,Prospecting,18300.0,2023-01-06,carlos@raptorsoft.com,Commit,2023-09-14,12.0,,Prospecting,commit,fluxo,-251.0,,,False,True,830,True,False,False,False,2023Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1330.41,>180d
OPP-2024115,acme,ACC-1100,SMB,Negotiation,16355.06,2023-11-16,ana.lima@raptorsoft.com,Best Case,2023-10-04,22.0,,Negotiation,best_case,acme,43.0,,,False,True,516,True,False,False,False,2023Q4,2023Q4,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1189.01,>180d
OPP-2024119,Sky Ops,ACC-1108,Mid-Market,DISCOVERY,127475.64,2024-09-28,pedro@raptorsoft.com,pipeline,2024-09-01,87.0,,Discovery/Qualification,pipeline,skyops,27.0,,,False,True,199,True,False,False,False,2024Q3,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,9267.48,>180d
OPP-2024120,BETA SOLUTIONS,ACC-1101,SMB,Proposal,21207.21,2024-02-24,joao@raptorsoft.com,Commit,2024-02-12,94.0,HS-90211,Proposal,commit,betasolutions,12.0,,,False,True,416,True,False,False,False,2024Q1,2024Q1,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1541.76,>180d
OPP-2024121,DataPrime,ACC-1106,SMB,prospecting,33356.51,2024-12-31,pedro@raptorsoft.com,Best Case,2024-10-06,72.0,HS-90414,Prospecting,best_case,dataprime,86.0,,,False,True,105,True,False,False,False,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,5660.6,91-180d
OPP-2024123,ZENTRA,ACC-1112,Mid-Market,DISCOVERY,104083.52,2024-10-20,carlos@raptorsoft.com,Pipeline,2024-08-05,40.0,,Discovery/Qualification,pipeline,zentra,76.0,,,False,True,177,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,17662.97,91-180d
OPP-2024125,RushFlow,ACC-1110,Mid-Market,Proposal,50070.42,2024-12-13,carlos@raptorsoft.com,Commit,2024-11-15,59.0,HS-90115,Proposal,commit,rushflow,28.0,,,False,True,123,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,8496.95,91-180d
OPP-2024126,FLUXO SISTEMAS,ACC-1105,Mid-Market,Negotiation,116277.63,2024-08-05,joao@raptorsoft.com,Best Case,2024-07-10,45.0,HS-90120,Negotiation,best_case,fluxo,26.0,,,False,True,253,True,False,False,False,2024Q3,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,8453.38,>180d
OPP-2024128,rushflow,ACC-1110,Enterprise,Qualification,496994.49,2023-12-09,carlos@raptorsoft.com,Best Case,2023-10-06,98.0,HS-90591,Discovery/Qualification,best_case,rushflow,64.0,,,False,True,493,True,False,False,False,2023Q4,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,36131.5,>180d
OPP-2024132,Acme Corp,ACC-1100,Mid-Market,Negotiation,31114.43,2025-01-26,ana.lima@raptorsoft.com,Best Case,2023-11-13,94.0,,Negotiation,best_case,acme,440.0,,,False,True,79,True,False,False,False,2025Q1,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.45,,0.4848,0.2666,8295.11,61-90d
OPP-2024134,Grupo Nexus,ACC-1102,Mid-Market,Proposal,63236.12,2024-11-24,joao@raptorsoft.com,Commit,2024-06-24,85.0,,Proposal,commit,nexus,153.0,,,False,True,142,True,False,False,False,2024Q4,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,10731.17,91-180d
OPP-2024136,ORBIT DIGITAL,ACC-1104,Enterprise,Negotiation,269430.09,2025-01-21,carlos@raptorsoft.com,Best Case,2024-08-11,118.0,HS-90400,Negotiation,best_case,orbit,163.0,,,False,True,84,True,False,False,False,2025Q1,2024Q3,Enterprise,Mid-Market,HIGH,employees_median,,0.45,,0.4848,0.2666,71830.06,61-90d
OPP-2024137,TapFlow,ACC-1115,Mid-Market,Discovery,131576.17,2023-02-26,ana.lima@raptorsoft.com,Commit,2023-09-06,91.0,HS-90355,Discovery/Qualification,commit,tapflow,-192.0,,,False,True,779,True,False,False,False,2023Q1,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,9565.59,>180d
OPP-2024139,GRIDSOFT,ACC-1117,SMB,Discovery,36299.39,2023-01-13,mariana@raptorsoft.com,commit,2023-12-09,23.0,HS-90731,Discovery/Qualification,commit,gridsoft,-330.0,,,False,True,823,True,False,False,False,2023Q1,2023Q4,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2638.97,>180d
OPP-2024142,Connect Wave,ACC-1107,Mid-Market,Prospecting,80377.9,2024-07-21,pedro@raptorsoft.com,best case,2024-05-10,115.0,,Prospecting,best_case,connectwave,72.0,,,False,True,268,True,False,False,False,2024Q3,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,5843.47,>180d
OPP-2024143,INNOVA,ACC-1116,SMB,Proposal,9574.79,2024-10-08,carlos@raptorsoft.com,Commit,2023-09-02,26.0,,Proposal,commit,innova,402.0,,,False,True,189,True,False,False,False,2024Q4,2023Q3,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,696.09,>180d
OPP-2024148,MINDBOX,ACC-1111,SMB,Negotiation ,12665.71,2024-11-29,joao@raptorsoft.com,Best Case,2024-04-02,31.0,HS-90224,Negotiation,best_case,mindbox,241.0,,,False,True,137,True,False,False,False,2024Q4,2024Q2,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,2149.37,91-180d
OPP-2024149,bluepath,ACC-1119,SMB,Qualification,16130.15,2024-12-19,ana.lima@raptorsoft.com,Best Case,2023-12-25,104.0,HS-90179,Discovery/Qualification,best_case,bluepath,360.0,,,False,True,117,True,False,False,False,2024Q4,2023Q4,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,2737.29,91-180d
OPP-2024150,beta solutions,ACC-1101,SMB,Prospecting,5023.92,2024-05-10,pedro@raptorsoft.com,best case,2024-02-10,19.0,,Prospecting,best_case,betasolutions,90.0,,,False,True,340,True,False,False,False,2024Q2,2024Q1,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,365.24,>180d
OPP-2024151,POLARIS,ACC-1118,SMB,Discovery,9775.81,2024-06-17,pedro@raptorsoft.com,Best Case,2023-10-12,119.0,HS-90603,Discovery/Qualification,best_case,polaris,249.0,,,False,True,302,True,False,False,False,2024Q2,2023Q4,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,710.7,>180d
OPP-2024152,CONNECTWAVE,ACC-1107,Mid-Market,Qualification,114241.01,2024-05-13,pedro@raptorsoft.com,Commit,2024-04-27,73.0,,Discovery/Qualification,commit,connectwave,16.0,,,False,True,337,True,False,False,False,2024Q2,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,8305.32,>180d
OPP-2024155,RUSHFLOW,ACC-1110,Enterprise,Discovery,112397.28,2023-12-27,carlos@raptorsoft.com,pipeline,2023-10-04,25.0,HS-90747,Discovery/Qualification,pipeline,rushflow,84.0,,,False,True,475,True,False,False,False,2023Q4,2023Q4,Enterprise,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,8171.28,>180d
OPP-2024158,SKYOPS,ACC-1108,Mid-Market,Prop,80235.85,2024-10-18,joao@raptorsoft.com,Best Case,2024-02-18,110.0,HS-90529,Proposal,best_case,skyops,243.0,,,False,True,179,True,False,False,False,2024Q4,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,13616.02,91-180d
OPP-2024161,AMPLIA SOLUCOES,,Mid-Market,Prospecting,104189.34,2024-12-16,joao@raptorsoft.com,Commit,2024-10-27,118.0,,Prospecting,commit,amplia,50.0,,,False,True,120,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,17680.93,91-180d
OPP-2024163,beta solutions,ACC-1101,Mid-Market,Qualification,98240.68,2024-10-07,carlos@raptorsoft.com,pipeline,2024-08-17,36.0,HS-90650,Discovery/Qualification,pipeline,betasolutions,51.0,,,False,True,190,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,7142.1,>180d
OPP-2024164,Amplia Soluções,ACC-1113,SMB,Negotiation,38618.21,2024-12-15,,Pipeline,2024-11-12,110.0,,Negotiation,pipeline,amplia,33.0,,,False,True,121,True,False,False,False,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,6553.51,91-180d
OPP-2024166,RushFlow,ACC-1110,Mid-Market,Prospecting,131194.07,2024-08-19,carlos@raptorsoft.com,Pipeline,2023-10-13,82.0,HS-90728,Prospecting,pipeline,rushflow,311.0,,,False,True,239,True,False,False,False,2024Q3,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,9537.81,>180d
OPP-2024167,Amplia,ACC-1113,SMB,Prospecting,33082.73,2024-03-16,mariana@raptorsoft.com,Commit,2024-03-03,13.0,HS-90227,Prospecting,commit,amplia,13.0,,True,False,True,395,True,False,False,False,2024Q1,2024Q1,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2405.11,>180d
OPP-2024168,zentra,ACC-1112,Mid-Market,Negotiation,108913.76,2023-09-22,carlos@raptorsoft.com,Best Case,2024-07-02,29.0,,Negotiation,best_case,zentra,-284.0,,,False,True,571,True,False,False,False,2023Q3,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,7918.03,>180d
OPP-2024170,gridsoft,ACC-1117,SMB,Proposal,39532.41,2024-01-06,ana.lima@raptorsoft.com,Best Case,2023-09-21,98.0,HS-90648,Proposal,best_case,gridsoft,107.0,,,False,True,465,True,False,False,False,2024Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2874.01,>180d
