customer_id,account_name,csm_owner,health_score,health_trend,mrr_usd,renewal_date,churn_date,status,last_qbr_date,open_tickets,nps_score,sf_account_id,canonical_name,status_corrected,mrr_imputed,mrr_source,days_to_renewal,renewal_proximity_score,nps_bonus,health_trend_score,no_qbr_signal,support_pressure,canonical_segment,segment_confidence,join_confidence,company_mrr_total,contract_count_active
CUST-0438,POLARIS,patricia@raptorsoft.com,55.0,Declining,4275.8,2025-09-22,,Active,2023-09-10,1,5.0,ACC-1118,polaris,,False,actual,160,0.0,0.1,1.0,True,0.08333333333333333,Mid-Market,HIGH,HIGH,176653.15,23
CUST-0439,bluepath,,30.0,Stable,9591.88,2025-12-23,,Active,,5,,,bluepath,,False,actual,252,0.0,0.0,0.3,True,0.4166666666666667,Mid-Market,HIGH,MEDIUM,189029.98,25
CUST-0440,Acme Corp,patricia@raptorsoft.com,75.0,Declining,8046.82,2025-05-26,2024-01-04,Churned,,0,5.0,ACC-1100,acme,True,False,actual,41,0.6,0.1,1.0,True,0.0,Mid-Market,HIGH,HIGH,194509.94,23
CUST-0441,beta solutions,lucas@raptorsoft.com,39.0,Declining,5562.95,2025-01-04,,Active,2024-02-16,3,7.0,ACC-1101,betasolutions,,False,actual,-101,1.0,0.0,1.0,True,0.25,Mid-Market,HIGH,HIGH,133712.45,22
CUST-0442,Grupo Nexus,patricia@raptorsoft.com,99.0,,0.0,2026-04-18,2023-11-17,Churned,2024-09-26,5,4.0,ACC-1102,nexus,,False,actual,368,0.0,0.1,0.5,True,0.4166666666666667,Mid-Market,HIGH,HIGH,200687.78,24
CUST-0443,Vertice Tech,lucas@raptorsoft.com,53.0,,0.0,2025-09-15,2023-10-21,Churned,2024-11-29,10,,ACC-1103,vertice,,False,actual,153,0.0,0.0,0.5,False,0.8333333333333334,Mid-Market,HIGH,HIGH,197690.09,23
CUST-0444,Orbit,,,Improving,10386.41,2025-01-29,,Active,2024-02-05,6,,,orbit,,False,actual,-76,1.0,0.0,0.0,True,0.5,Mid-Market,HIGH,MEDIUM,227071.01,26
CUST-0445,Fluxo Sistemas,,86.0,,3118.99,2025-12-30,,Active,2023-12-03,0,3.0,ACC-1105,fluxo,,False,actual,259,0.0,0.1,0.5,True,0.0,Mid-Market,HIGH,HIGH,217571.91,27
CUST-0446,DataPrime,carla@raptorsoft.com,52.0,Declining,8339.7,2025-12-12,,Active,2024-10-10,6,8.0,ACC-1106,dataprime,,False,actual,241,0.0,0.0,1.0,True,0.5,Mid-Market,HIGH,HIGH,213142.01,25
CUST-0447,CONNECTWAVE,carla@raptorsoft.com,39.0,Stable,0.0,2026-02-11,2023-06-02,Churned,,0,5.0,ACC-1107,connectwave,,False,actual,302,0.0,0.1,0.3,True,0.0,Mid-Market,HIGH,HIGH,238725.88,28
CUST-0448,Sky Ops,rafael@raptorsoft.com,28.0,Improving,6749.59,2025-08-06,,Active,2023-07-18,9,,,skyops,,False,actual,113,0.0,0.0,0.0,True,0.75,Mid-Market,HIGH,MEDIUM,214724.43,25
CUST-0449,polare,rafael@raptorsoft.com,,Declining,0.0,2026-04-04,2023-07-04,Churned,2023-09-05,11,,ACC-1109,polare,,False,actual,354,0.0,0.0,1.0,True,0.9166666666666666,Mid-Market,HIGH,HIGH,218077.81,27
CUST-0450,RUSHFLOW,rafael@raptorsoft.com,64.0,Stable,2706.9,2025-11-21,,Active,,2,3.0,,rushflow,,False,actual,220,0.0,0.1,0.3,True,0.16666666666666666,Mid-Market,HIGH,MEDIUM,183982.75,23
CUST-0451,Mindbox,rafael@raptorsoft.com,95.0,Improving,1156.39,2025-04-09,,Active,2023-10-11,0,7.0,ACC-1111,mindbox,,False,actual,-6,1.0,0.0,0.0,True,0.0,Mid-Market,HIGH,HIGH,217717.35,26
CUST-0452,Zentra,rafael@raptorsoft.com,,,0.0,2026-04-19,2023-11-04,Churned,2024-10-27,1,5.0,ACC-1112,zentra,,False,actual,369,0.0,0.1,0.5,False,0.08333333333333333,Mid-Market,HIGH,HIGH,236895.41,27
CUST-0453,Amplia,rafael@raptorsoft.com,89.0,Declining,7395.24,2025-10-02,,Active,,3,,ACC-1113,amplia,,False,actual,170,0.0,0.0,1.0,True,0.25,Mid-Market,HIGH,HIGH,211018.85,25
CUST-0454,CoreLogic,rafael@raptorsoft.com,54.0,Declining,8505.45,2026-05-02,,Active,,5,10.0,,corelogic,,False,actual,382,0.0,-0.08,1.0,True,0.4166666666666667,Mid-Market,HIGH,MEDIUM,206729.08,24
CUST-0455,TapFlow,patricia@raptorsoft.com,39.0,,9562.25,2024-02-06,,Active,2023-10-30,3,,ACC-1115,tapflow,,False,actual,-434,1.0,0.0,0.5,True,0.25,Mid-Market,HIGH,HIGH,213765.26,25
CUST-0456,Innova,carla@raptorsoft.com,85.0,Declining,10659.86,2026-03-21,,Active,,6,,,innova,,False,actual,340,0.0,0.0,1.0,True,0.5,Mid-Market,HIGH,MEDIUM,198837.46,20
CUST-0457,Grid Soft,,73.0,Improving,2275.35,2025-01-30,,Active,2023-11-22,7,4.0,ACC-1117,gridsoft,,False,actual,-75,1.0,0.1,0.0,True,0.5833333333333334,Mid-Market,HIGH,HIGH,188772.05,23
CUST-0458,POLARIS,patricia@raptorsoft.com,29.0,Stable,0.0,2025-05-09,2024-07-03,Churned,,5,,ACC-1118,polaris,,False,actual,24,1.0,0.0,0.3,True,0.4166666666666667,Mid-Market,HIGH,HIGH,176653.15,23
CUST-0459,BluePath,rafael@raptorsoft.com,39.0,Stable,0.0,2025-10-30,2025-01-25,Churned,,11,,,bluepath,,False,actual,198,0.0,0.0,0.3,True,0.9166666666666666,Mid-Market,HIGH,MEDIUM,189029.98,25
CUST-0460,Acme Corp.,patricia@raptorsoft.com,53.0,Declining,8569.74,2026-06-03,,Active,2023-07-25,6,9.0,ACC-1100,acme,,False,actual,414,0.0,-0.08,1.0,True,0.5,Mid-Market,HIGH,HIGH,194509.94,23
CUST-0461,BETA SOLUTIONS,carla@raptorsoft.com,59.0,,3276.68,2024-01-24,,Active,2023-08-13,9,6.0,,betasolutions,,False,actual,-447,1.0,0.1,0.5,True,0.75,Mid-Market,HIGH,MEDIUM,133712.45,22
CUST-0462,nexus,patricia@raptorsoft.com,57.0,,10760.59,2025-01-26,,Active,2024-06-15,8,,,nexus,,False,actual,-79,1.0,0.0,0.5,True,0.6666666666666666,Mid-Market,HIGH,MEDIUM,200687.78,24
CUST-0463,VERTICE TECH,lucas@raptorsoft.com,95.0,Improving,7283.49,2025-02-26,,Active,,6,2.0,,vertice,,False,actual,-48,1.0,0.1,0.0,True,0.5,Mid-Market,HIGH,MEDIUM,197690.09,23
CUST-0464,orbit digital,patricia@raptorsoft.com,43.0,,0.0,2025-04-03,2024-08-10,Churned,,7,5.0,ACC-1104,orbit,,False,actual,-12,1.0,0.1,0.5,True,0.5833333333333334,Mid-Market,HIGH,HIGH,227071.01,26
CUST-0465,Fluxo Sistemas,patricia@raptorsoft.com,80.0,,7998.24,2025-04-25,,Active,2023-08-07,8,,ACC-1105,fluxo,,False,actual,10,1.0,0.0,0.5,True,0.6666666666666666,Mid-Market,HIGH,HIGH,217571.91,27
CUST-0466,DataPrime,carla@raptorsoft.com,23.0,Stable,4398.47,2024-12-27,2024-11-19,Churned,,7,10.0,,dataprime,True,False,actual,-109,1.0,-0.08,0.3,True,0.5833333333333334,Mid-Market,HIGH,MEDIUM,213142.01,25
CUST-0467,CONNECTWAVE,rafael@raptorsoft.com,73.0,Improving,13838.95,2025-03-27,,Active,2023-12-03,3,10.0,ACC-1107,connectwave,,False,actual,-19,1.0,-0.08,0.0,True,0.25,Mid-Market,HIGH,HIGH,238725.88,28
CUST-0468,SkyOps,carla@raptorsoft.com,75.0,Stable,7850.49,2025-02-03,,Active,2023-07-22,3,,ACC-1108,skyops,,False,actual,-71,1.0,0.0,0.3,True,0.25,Mid-Market,HIGH,HIGH,214724.43,25
CUST-0469,Polare,lucas@raptorsoft.com,98.0,Stable,910.58,2025-07-25,,Active,,7,,,polare,,False,actual,101,0.0,0.0,0.3,True,0.5833333333333334,Mid-Market,HIGH,MEDIUM,218077.81,27
CUST-0470,rushflow,carla@raptorsoft.com,55.0,Stable,5547.69,2025-05-20,,Active,2024-09-09,4,,ACC-1110,rushflow,,False,actual,35,0.6,0.0,0.3,True,0.3333333333333333,Mid-Market,HIGH,HIGH,183982.75,23
CUST-0471,mindbox,lucas@raptorsoft.com,54.0,Improving,14118.99,2026-04-29,,Active,,2,,ACC-1111,mindbox,,False,actual,379,0.0,0.0,0.0,True,0.16666666666666666,Mid-Market,HIGH,HIGH,217717.35,26
CUST-0472,ZENTRA,patricia@raptorsoft.com,,Improving,8186.12,2025-09-19,,Active,,0,9.0,,zentra,,False,actual,157,0.0,-0.08,0.0,True,0.0,Mid-Market,HIGH,MEDIUM,236895.41,27
CUST-0473,AMPLIA SOLUCOES,rafael@raptorsoft.com,62.0,Stable,13939.99,2026-04-22,,Active,,10,4.0,,amplia,,False,actual,372,0.0,0.1,0.3,True,0.8333333333333334,Mid-Market,HIGH,MEDIUM,211018.85,25
CUST-0474,CORELOGIC,rafael@raptorsoft.com,53.0,Stable,0.0,2025-07-22,2024-10-06,Churned,2024-07-21,12,3.0,,corelogic,,False,actual,98,0.0,0.1,0.3,True,1.0,Mid-Market,HIGH,MEDIUM,206729.08,24
CUST-0475,tapflow,rafael@raptorsoft.com,50.0,,0.0,2025-04-30,2024-11-26,Churned,,8,1.0,ACC-1115,tapflow,,False,actual,15,1.0,0.1,0.5,True,0.6666666666666666,Mid-Market,HIGH,HIGH,213765.26,25
CUST-0476,Innova Tech,patricia@raptorsoft.com,90.0,Improving,2656.99,2026-02-21,,Active,,6,10.0,,innova,,False,actual,312,0.0,-0.08,0.0,True,0.5,Mid-Market,HIGH,MEDIUM,198837.46,20
CUST-0477,GridSoft,lucas@raptorsoft.com,91.0,Improving,3690.28,2026-01-15,,Active,2024-11-06,10,,ACC-1117,gridsoft,,False,actual,275,0.0,0.0,0.0,False,0.8333333333333334,Mid-Market,HIGH,HIGH,188772.05,23
CUST-0478,Polaris,carla@raptorsoft.com,44.0,Improving,0.0,2025-10-21,2024-09-07,Churned,,10,9.0,ACC-1118,polaris,,False,actual,189,0.0,-0.08,0.0,True,0.8333333333333334,Mid-Market,HIGH,HIGH,176653.15,23
CUST-0479,BluePath,rafael@raptorsoft.com,21.0,Improving,12636.35,2025-06-19,,Active,,1,,,bluepath,,False,actual,65,0.3,0.0,0.0,True,0.08333333333333333,Mid-Market,HIGH,MEDIUM,189029.98,25
CUST-0480,ACME CORP,patricia@raptorsoft.com,92.0,Stable,0.0,2025-04-10,2023-09-18,Churned,,6,2.0,,acme,,False,actual,-5,1.0,0.1,0.3,True,0.5,Mid-Market,HIGH,MEDIUM,194509.94,23
CUST-0481,BETA SOLUTIONS,,,Improving,2692.75,2025-01-15,,Active,2024-06-25,5,1.0,,betasolutions,,False,actual,-90,1.0,0.1,0.0,True,0.4166666666666667,Mid-Market,HIGH,MEDIUM,133712.45,22
CUST-0482,nexus,patricia@raptorsoft.com,19.0,,4779.55,2026-05-22,,Active,2024-08-11,5,,ACC-1102,nexus,,False,actual,402,0.0,0.0,0.5,True,0.4166666666666667,Mid-Market,HIGH,HIGH,200687.78,24
CUST-0483,Vértice Tech,carla@raptorsoft.com,61.0,Improving,7361.72,2026-01-23,,Active,,8,10.0,ACC-1103,vertice,,False,actual,283,0.0,-0.08,0.0,True,0.6666666666666666,Mid-Market,HIGH,HIGH,197690.09,23
CUST-0484,ORBIT DIGITAL,rafael@raptorsoft.com,87.0,,7300.47,2026-05-08,,Active,2024-03-03,0,,ACC-1104,orbit,,False,actual,388,0.0,0.0,0.5,True,0.0,Mid-Market,HIGH,HIGH,227071.01,26
CUST-0485,Fluxo Sistemas,rafael@raptorsoft.com,,Improving,0.0,2025-01-03,2023-06-15,Churned,,10,,,fluxo,,False,actual,-102,1.0,0.0,0.0,True,0.8333333333333334,Mid-Market,HIGH,MEDIUM,217571.91,27
CUST-0486,Data Prime,carla@raptorsoft.com,17.0,Improving,5717.09,2026-03-23,,Active,2024-03-13,1,,ACC-1106,dataprime,,False,actual,342,0.0,0.0,0.0,True,0.08333333333333333,Mid-Market,HIGH,HIGH,213142.01,25
CUST-0487,ConnectWave,rafael@raptorsoft.com,55.0,,5468.5,2026-01-16,2024-10-18,Churned,2024-12-24,11,,,connectwave,True,False,actual,276,0.0,0.0,0.5,False,0.9166666666666666,Mid-Market,HIGH,MEDIUM,238725.88,28
CUST-0488,skyops,lucas@raptorsoft.com,30.0,Declining,0.0,2025-10-15,2023-11-26,Churned,,1,1.0,ACC-1108,skyops,,False,actual,183,0.0,0.1,1.0,True,0.08333333333333333,Mid-Market,HIGH,HIGH,214724.43,25
CUST-0489,polare,patricia@raptorsoft.com,25.0,Declining,13608.46,2025-08-11,,Active,2024-09-01,8,9.0,ACC-1109,polare,,False,actual,118,0.0,-0.08,1.0,True,0.6666666666666666,Mid-Market,HIGH,HIGH,218077.81,27
CUST-0490,RushFlow,patricia@raptorsoft.com,93.0,Improving,9136.68,2025-06-03,,Active,2024-04-29,10,9.0,,rushflow,,False,actual,49,0.6,-0.08,0.0,True,0.8333333333333334,Mid-Market,HIGH,MEDIUM,183982.75,23
CUST-0491,Mind Box,rafael@raptorsoft.com,,Improving,1883.56,2025-07-04,,Active,2023-11-16,1,2.0,,mindbox,,False,actual,80,0.3,0.1,0.0,True,0.08333333333333333,Mid-Market,HIGH,MEDIUM,217717.35,26
CUST-0492,ZENTRA,rafael@raptorsoft.com,99.0,,10905.9,2026-06-25,,Active,2023-12-26,6,,,zentra,,False,actual,436,0.0,0.0,0.5,True,0.5,Mid-Market,HIGH,MEDIUM,236895.41,27
CUST-0493,Amplia Soluções,patricia@raptorsoft.com,,Stable,8265.34,2025-03-29,2024-07-17,Churned,2024-07-19,3,,ACC-1113,amplia,True,False,actual,-17,1.0,0.0,0.3,True,0.25,Mid-Market,HIGH,HIGH,211018.85,25
CUST-0494,corelogic,,26.0,Improving,9064.91,2025-12-28,,Active,2024-02-17,9,,,corelogic,,False,actual,257,0.0,0.0,0.0,True,0.75,Mid-Market,HIGH,MEDIUM,206729.08,24
CUST-0495,tapflow,patricia@raptorsoft.com,83.0,Declining,9574.35,2024-12-16,,Active,2024-12-30,12,,ACC-1115,tapflow,,False,actual,-120,1.0,0.0,1.0,False,1.0,Mid-Market,HIGH,HIGH,213765.26,25
CUST-0496,INNOVA,carla@raptorsoft.com,92.0,Improving,0.0,2026-04-29,2023-11-18,Churned,2024-12-31,11,,,innova,,False,actual,379,0.0,0.0,0.0,False,0.9166666666666666,Mid-Market,HIGH,MEDIUM,198837.46,20
CUST-0497,GridSoft,rafael@raptorsoft.com,,Improving,11118.97,2025-11-26,2024-07-10,Churned,2024-08-13,6,,ACC-1117,gridsoft,True,False,actual,225,0.0,0.0,0.0,True,0.5,Mid-Market,HIGH,HIGH,188772.05,23
CUST-0498,Polaris,lucas@raptorsoft.com,40.0,Stable,7472.77,2025-08-25,,Active,2023-11-18,5,7.0,,polaris,,False,actual,132,0.0,0.0,0.3,True,0.4166666666666667,Mid-Market,HIGH,MEDIUM,176653.15,23
CUST-0499,bluepath,patricia@raptorsoft.com,,Improving,8299.96,2026-02-06,,Active,,2,,ACC-1119,bluepath,,False,actual,297,0.0,0.0,0.0,True,0.16666666666666666,Mid-Market,HIGH,HIGH,189029.98,25
CUST-0500,ACME CORP,rafael@raptorsoft.com,23.0,Declining,11423.89,2025-04-25,,Active,2024-09-25,1,,,acme,,False,actual,10,1.0,0.0,1.0,True,0.08333333333333333,Mid-Market,HIGH,MEDIUM,194509.94,23
CUST-0501,beta solutions,patricia@raptorsoft.com,15.0,Declining,12548.37,2025-06-22,,Active,2024-05-27,7,6.0,ACC-1101,betasolutions,,False,actual,68,0.3,0.1,1.0,True,0.5833333333333334,Mid-Market,HIGH,HIGH,133712.45,22
CUST-0502,nexus,rafael@raptorsoft.com,91.0,Improving,3728.29,2025-06-17,,Active,2023-06-01,8,6.0,ACC-1102,nexus,,False,actual,63,0.3,0.1,0.0,True,0.6666666666666666,Mid-Market,HIGH,HIGH,200687.78,24
CUST-0503,Vertice,,13.0,Declining,2631.58,2026-03-21,,Active,,2,8.0,,vertice,,False,actual,340,0.0,0.0,1.0,True,0.16666666666666666,Mid-Market,HIGH,MEDIUM,197690.09,23
CUST-0504,orbit digital,rafael@raptorsoft.com,32.0,Declining,0.0,2025-04-15,2024-10-24,Churned,2023-12-01,2,,ACC-1104,orbit,,False,actual,0,1.0,0.0,1.0,True,0.16666666666666666,Mid-Market,HIGH,HIGH,227071.01,26
CUST-0505,Fluxo Sistemas Ltda,patricia@raptorsoft.com,,Improving,4496.67,2025-11-10,2024-05-26,Churned,,12,4.0,,fluxo,True,False,actual,209,0.0,0.1,0.0,True,1.0,Mid-Market,HIGH,MEDIUM,217571.91,27
CUST-0506,DataPrime,carla@raptorsoft.com,79.0,,9251.96,2025-07-20,,Active,2024-10-14,6,10.0,,dataprime,,False,actual,96,0.0,-0.08,0.5,True,0.5,Mid-Market,HIGH,MEDIUM,213142.01,25
CUST-0507,Connect Wave,carla@raptorsoft.com,33.0,Improving,11631.2,2026-06-28,2024-11-18,Churned,2023-12-01,7,7.0,,connectwave,True,False,actual,439,0.0,0.0,0.0,True,0.5833333333333334,Mid-Market,HIGH,MEDIUM,238725.88,28
CUST-0508,SkyOps,rafael@raptorsoft.com,62.0,,5045.36,2024-01-23,,Active,,3,8.0,,skyops,,False,actual,-448,1.0,0.0,0.5,True,0.25,Mid-Market,HIGH,MEDIUM,214724.43,25
CUST-0509,Polare Ltda,carla@raptorsoft.com,68.0,Declining,0.0,2025-02-03,2024-08-03,Churned,,5,7.0,,polare,,False,actual,-71,1.0,0.0,1.0,True,0.4166666666666667,Mid-Market,HIGH,MEDIUM,218077.81,27
